Text,Start Location,End Location,Is Quote,Speaker,Context,Entity Name
“SLYTHERIN!”,59017,59020,True,374:Baddock.M,"I call out your name, you will put on the hat and sit on the stool,” she told the first years.“When the hat announces your House, you will go and sit at the appropriate table.“Ackerley, Stewart!” A boy walked forward, visibly trembling from head to foot, picked up the Sorting Hat, put it on, and sat down on the stool.“RAVENCLAW!” shouted the hat. Stewart Ackerley took off the hat and hurried into a seat at the Ravenclaw table, where everyone was applauding him. Harry caught a glimpse of Cho, the Ravenclaw Seeker, cheering Stewart Ackerley as he sat down. For a fleeting second, Harry had a strange desire to join the Ravenclaw table too.“Baddock, Malcolm!”“SLYTHERIN!” The table on the other side of the hall erupted with cheers; Harry could see Malfoy clapping as Baddock joined the Slytherins. Harry wondered whether Baddock knew that Slytherin House had turned out more Dark witches and wizards than any other. Fred and George hissed Malcolm Baddock as he sat down.“Branstone, Eleanor!”“HUFFLEPUFF!”“Cauldwell, Owen!”“HUFFLEPUFF!”“Creevey, Dennis!” Tiny Dennis Creevey staggered forward, tripping over Hagrid’s moleskin, just as Hagrid himself sidled into the Hall through a door behind the teachers’ table. About twice as tall as a normal man, and at least three times as broad, Hagrid, with his long, wild, tangled black hair and beard, looked slightly alarming— a misleading impression, for",Baddock
“Tomorrow you shall begin flying with the coals in your beaks.,36538,36575,True,869:the ryb.?,"beak seemed to be a permanently sooty gray. Soren thought of his own face, covered in pure white feathers. This was the most distinctive feature of Barn Owls, and he really did not want to think of it growing singed and sooty. Maybe he was vain but he couldn’t help it.“Pay attention! Soren!” Elvan barked.“You nearly ran into Otulissa.” Thank Glaux she couldn’t speak, thought Soren. That was the only good thing about colliering. It was hard to speak with a live coal in one’s mouth. So Otulissa was effectively shut up for once.“All right, rest time. Drop your coals,” Elvan announced. Rest wasn’t really rest, however, as the ryb lectured them the entire time.“Tomorrow you shall begin flying with the coals in your beaks. It is not that different, really, from walking. Although you must take care to keep your coal alive and burning.”“Yeah!” Bubo boomed.“Dead coals ain’t going to do me a bit of good, young’uns. No sense flying in here with a great lot of ashes, cold as Glaux knows what.”“Yes,” continued Elvan.“We don’t want to disappoint Bubo.”“Oh, Glaux forbid that we should disappoint Bubo,” Otulissa mumbled. Soren stole a glance at her. There was pure venom in her eyes. Why couldn’t she just be angry about being in this chaw? What did Bubo have to do with it? Soren thought. He knew why, of course. Otulissa thought she was too good to have anything to do with Bubo. Neither Bubo nor any of the owls in this chaw had the distinguished background of",the ryb
“Even though she was not your’ ostage.”,168616,168626,True,334:Madam Pomfrey.F,"merpeople made when they were above water; clearly, Dumbledore could speak Mermish. Finally he straightened up, turned to his fellow judges, and said,“A conference before we give the marks, I think.” The judges went into a huddle. Madam Pomfrey had gone to rescue Ron from Percy’s clutches; she led him over to Harry and the others, gave him a blanket and some Pepperup Potion, then went to fetch Fleur and her sister. Fleur had many cuts on her face and arms and her robes were torn, but she didn’t seem to care, nor would she allow Madam Pomfrey to clean them.“Look after Gabrielle,” she told her, and then she turned to Harry.“You saved’ er,” she said breathlessly.“Even though she was not your’ ostage.”“Yeah,” said Harry, who was now heartily wishing he’d left all three girls tied to the statue. Fleur bent down, kissed Harry twice on each cheek(he felt his face burn and wouldn’t have been surprised if steam was coming out of his ears again), then said to Ron,“And you too— you’ elped—”“Yeah,” said Ron, looking extremely hopeful,“yeah, a bit—” Fleur swooped down on him too and kissed him. Hermione looked simply furious, but just then, Ludo Bagman’s magically magnified voice boomed out beside them, making them all jump, and causing the crowd in the stands to go very quiet.“Ladies and gentlemen, we have reached our decision. Merchieftainess Murcus has",Madam Pomfrey
"Wormtail,”",192344,192352,True,1027:the other.M,"the wind blowing pleasantly in Harry’s face, until they reached a dark and broken window in the upper story of the house and entered. Now they were flying along a gloomy passageway, to a room at the very end… through the door they went, into a dark room whose windows were boarded up.… Harry had left the owl’s back… he was watching, now, as it fluttered across the room, into a chair with its back to him.… There were two dark shapes on the floor beside the chair… both of them were stirring.… One was a huge snake… the other was a man… a short, balding man, a man with watery eyes and a pointed nose… he was wheezing and sobbing on the hearth rug.…“You are in luck, Wormtail,” said a cold, high- pitched voice from the depths of the chair in which the owl had landed.“You are very fortunate indeed. Your blunder has not ruined everything. He is dead.”“My Lord!” gasped the man on the floor.“My Lord, I am… I am so pleased… and so sorry.…”“Nagini,” said the cold voice,“you are out of luck. I will not be feeding Wormtail to you, after all… but never mind, never mind… there is still Harry Potter.…” The snake hissed. Harry could see its tongue fluttering.“Now, Wormtail,” said the cold voice,“perhaps one more little reminder why I will not tolerate another blunder from you",the other
“You dueled with the Dark Lord?”,224150,224158,True,1763:the man.M,"” the man asked at last as he lifted Harry up the stone steps. Clunk. Clunk. Clunk. It was Mad- Eye Moody.“Cup was a Portkey,” said Harry as they crossed the entrance hall.“Took me and Cedric to a graveyard… and Voldemort was there… Lord Voldemort…” Clunk. Clunk. Clunk. Up the marble stairs…“The Dark Lord was there? What happened then?”“Killed Cedric… they killed Cedric.…”“And then?” Clunk. Clunk. Clunk. Along the corridor…“Made a potion… got his body back.…”“The Dark Lord got his body back? He’s returned?”“And the Death Eaters came… and then we dueled.…”“You dueled with the Dark Lord?”“Got away… my wand… did something funny.… I saw my mum and dad… they came out of his wand.…”“In here, Harry… in here, and sit down.… You’ll be all right now… drink this.…” Harry heard a key scrape in a lock and felt a cup being pushed into his hands.“Drink it… you’ll feel better… come on, now, Harry, I need to know exactly what happened.…” Moody helped tip the stuff down Harry’s throat; he coughed, a peppery taste burning his throat. Moody’s office came into sharper focus, and so did Moody himself.… He looked as white as Fudge had looked, and both eyes were fixed unblinkingly upon Harry",the man
Never going to hear a wing flap with these owls!”,16247,16286,True,580:his father.?,"and the Mirror Lakes grew stronger and stronger.“Time to get up, young’uns.” It was the male puffin, nudging Soren with one of his large, orange, webbed feet.“Wind died down. You can fly out of here now. The wall’s weeping.”“Huh?” Soren asked.“What do you mean the wall’s weeping?”“The ice is melting. Means warm air, the thermals have come. Easy flying.” The other owls were already up and standing at the rim of the hollow. The wall certainly was weeping. Glistening with wetness, it appeared shimmering, almost fiery as the setting sun turned its ice into liquid flames of pink, then orange and red.“Dumpy,” his father called.“Come over here, son. I want you to step up here and watch the young’uns fly. They are the masters of silent flight. Never going to hear a wing flap with these owls!” Just before they took off, Soren looked at each of the owls. He wasn’t the only one who had dreamed of the Mirror Lakes. They all wanted to go back. Could it be that wrong if they all wanted to do it? Twilight slid in close to him.“Soren, the three of us have been thinking.”“Yes?”“Thinking about The Beaks and the Mirror Lakes. We’ve been thinking, why not go back there for just a little while? You know, just to kind of rest up, get this fish out of our system. Eat us some nice fat voles, then go on to the Great Ga’Hoole Tree.” It was so tempting, so tempting. Soren felt Mrs. Plithiver shift in the feathers between his",his father
"“She ain’t moved an inch,”",59683,59691,True,229:Bubbles.?,"conversation. They seemed, in fact, very apart from the entire festive spirit of the evening. Soon Soren and Eglantine joined Twilight and Digger and Primrose. Primrose had traded one of her strung milkberry bracelets for a tiny comb. And Digger had traded a very smooth pebble for a shell.“They say it comes from a very faraway ocean and that once a tiny animal lived inside it,” he explained. The moon was beginning to slip away, and Mags had begun to pack up her wares. It would be time for good light, but suddenly Soren noticed that Eglantine was not by his side. He had a terrible moment’s panic but then spotted her standing rigidly in front of a cloth covered with fragments of glass and pretty stones. Bubbles was packing up.“She ain’t moved an inch,” Bubbles said.“Just staring at this stone here, with the sparkles. Ain’t really gold, Mags says— just little bits of something she calls isinglass, some calls it mica. But makes a right pretty rock. Kind of sparkly in places and, if you hold it up, light can shine through it a bit. It’s kind of like a dusty mirror. Certainly caught your sister’s fancy. There be something wrong with her, I s’pose?” she said quietly to Soren.“Here, dear, I’ll show you something real pretty we can do with it.” She picked up the stone, which was as thin as a blade.“See what it does now.” She held it up to the moon as it swept down",Bubbles
"“When do we ever have good ones,",14556,14567,True,323:his mate.?,"so far north?” Soren asked.“Must have gotten blown off course,” said the female.“Where you come from?”“The Beaks,” Twilight said.“Where you headed?”“The island in the Sea of Hoolemere.”“Great Ice! You’ve passed it by. Overshot it by five hundred leagues.”“What! We flew over it and didn’t even see it?” Digger said, his voice barely audible.“Where are we exactly?” Gylfie asked.“You’re in the Ice Narrows, far side of Hoolemere, edge of the Northern Kingdoms.”“What!” All four owls gasped.“Don’t feel too dumb,” the male said.“Bad weather conditions.”“When do we ever have good ones, dear?” his mate mused.“Well, true. But with the wind coming from that direction, they just got sucked up into the Narrows and then that williwaw came.”“What’s a williwaw?” Soren asked.“You get a big tumble, like an avalanche. Suppose you don’t know what that is— an avalanche.”“No, what’s an avalanche?” Digger said.“You know, a big snow slide, but it’s not snow in a williwaw. Just cold icy air comes over the wall and crashes down. That’s what sucked you up into the Narrows and slammed you into our wall— our home.”“This is home?” Twilight asked.“Yes, sir. Only one we’ve ever known,",his mate
"but you didn’t fall off,",23992,24005,True,239:Amos Diggory.?,"Harry. Harry was used to people looking curiously at him when they met him, used to the way their eyes moved at once to the lightning scar on his forehead, but it always made him feel uncomfortable.“Ced’s talked about you, of course,” said Amos Diggory.“Told us all about playing against you last year.… I said to him, I said— Ced, that’ll be something to tell your grandchildren, that will.… You beat Harry Potter!” Harry couldn’t think of any reply to this, so he remained silent. Fred and George were both scowling again. Cedric looked slightly embarrassed.“Harry fell off his broom, Dad,” he muttered.“I told you… it was an accident.…”“Yes, but you didn’t fall off, did you?” roared Amos genially, slapping his son on his back.“Always modest, our Ced, always the gentleman… but the best man won, I’m sure Harry’d say the same, wouldn’t you, eh? One falls off his broom, one stays on, you don’t need to be a genius to tell which one’s the better flier!”“Must be nearly time,” said Mr. Weasley quickly, pulling out his watch again.“Do you know whether we’re waiting for any more, Amos?”“No, the Lovegoods have been there for a week already and the Fawcetts couldn’t get tickets,” said Mr. Diggory.“There aren’t any more of us in this area, are there?”“Not that I know of",Amos Diggory
"“It will make Harry Potter breathe underwater,",163598,163609,True,1327:the elf.F,"they’ve got Ron?”“The thing Harry Potter will miss most, sir!” squeaked Dobby.“‘ But past an hour—’”“—‘ the prospect’s black,’” Harry recited, staring, horror- struck, at the elf.“‘ Too late, it’s gone, it won’t come back.’ Dobby— what’ve I got to do?”“You has to eat this, sir!” squeaked the elf, and he put his hand in the pocket of his shorts and drew out a ball of what looked like slimy, grayish- green rat tails.“Right before you go into the lake, sir— gillyweed!”“What’s it do?” said Harry, staring at the gillyweed.“It will make Harry Potter breathe underwater, sir!”“Dobby,” said Harry frantically,“listen— are you sure about this?” He couldn’t quite forget that the last time Dobby had tried to“help” him, he had ended up with no bones in his right arm.“Dobby is quite sure, sir!” said the elf earnestly.“Dobby hears things, sir, he is a house- elf, he goes all over the castle as he lights the fires and mops the floors. Dobby heard Professor McGonagall and Professor Moody in the staffroom, talking about the next task.… Dobby can not let Harry Potter lose his Wheezy!” Harry’s doubts vanished. Jumping to his feet he pulled off the Invisibility Cloak, stuffed it into his bag, grabbed the gillyweed, and put it",the elf
"“I can’t,”",132973,132978,True,222:Ginny.F,"her. Then he grinned again.“Okay, okay, we know you’re a girl,” he said.“That do? Will you come now?”“I’ve already told you!” Hermione said very angrily.“I’m going with someone else!” And she stormed off toward the girls’ dormitories again.“She’s lying,” said Ron flatly, watching her go.“She’s not,” said Ginny quietly.“Who is it then?” said Ron sharply.“I’m not telling you, it’s her business,” said Ginny.“Right,” said Ron, who looked extremely put out,“this is getting stupid. Ginny, you can go with Harry, and I’ll just—”“I can’t,” said Ginny, and she went scarlet too.“I’m going with— with Neville. He asked me when Hermione said no, and I thought… well… I’m not going to be able to go otherwise, I’m not in fourth year.” She looked extremely miserable.“I think I’ll go and have dinner,” she said, and she got up and walked off to the portrait hole, her head bowed. Ron goggled at Harry.“What’s got into them?” he demanded. But Harry had just seen Parvati and Lavender come in through the portrait hole. The time had come for drastic action.“Wait here,” he said to Ron, and he stood up, walked straight up to Parvati, and said,“",Ginny
Can you show these new arrivals to that hollow we cleaned out yesterday?”,19920,19940,True,654:A young Spotted Owl.?,"branches themselves.“Now, I want you young’uns to stay out of the way. We’ve got some wounded owls coming in and I have to arrange for their care.” They were flying up through the branches, following the Short- eared Owl to the hollow that would be theirs.“Matron, we’re going to need moss and down. Search- and- rescue’s coming in with two more little ones. Nest decimation.” Another Short- eared Owl flew by with a wad of something fluffy in her talons.“Oh, no! Poor little things.”“Nest decimation. What’s that?” Soren asked.“Accidental destruction of nests.” A young Spotted Owl flew up as they landed on a branch midway up the tree.“Otulissa, thank goodness. Can you show these new arrivals to that hollow we cleaned out yesterday?”“Certainly, Matron.”“And see if Cook has any tea or cakes left over. They look half starved.”“Certainly.” The Spotted Owl named Otulissa showed them to their hollow.“What is going on here?” Twilight asked her.“Oh, there’ve been some skirmishes up in the borderlands, nothing too serious.”“Is it St. Aggie’s?” Soren asked.“We know all about St. Aggie’s. Gylfie and I escaped.” Otulissa blinked.“And we killed their top two lieutenants when they came after Digger here. So we’re ready to fight,” Twilight added. The Spotted Owl blinked again.“I mean, we’re in the right place, aren’t we? The Great Ga’Hoole Tree",A young Spotted Owl
But quiet… I think I hear Nagini.…”,4304,4346,True,756:the second man.?,"use the information I extracted from her, Wormtail.” Out in the corridor, Frank suddenly became aware that the hand gripping his walking stick was slippery with sweat. The man with the cold voice had killed a woman. He was talking about it without any kind of remorse— with amusement. He was dangerous— a madman. And he was planning more murders— this boy, Harry Potter, whoever he was— was in danger— Frank knew what he must do. Now, if ever, was the time to go to the police. He would creep out of the house and head straight for the telephone box in the village… but the cold voice was speaking again, and Frank remained where he was, frozen to the spot, listening with all his might.“One more murder… my faithful servant at Hogwarts… Harry Potter is as good as mine, Wormtail. It is decided. There will be no more argument. But quiet… I think I hear Nagini.…” And the second man’s voice changed. He started making noises such as Frank had never heard before; he was hissing and spitting without drawing breath. Frank thought he must be having some sort of fit or seizure. And then Frank heard movement behind him in the dark passageway. He turned to look, and found himself paralyzed with fright. Something was slithering toward him along the dark corridor floor, and as it drew nearer to the sliver of firelight, he realized with a thrill of terror that it was a gigantic snake, at least twelve feet long. Horrified, transfixed, Frank stared as its undulating body cut a wide, curving track through the thick dust on the floor, coming closer and closer— What was he to do? The only means of escape was into",the second man
"But,”",20436,20518,True,658:the Spotted Owl.?,"… that… that it takes more?”“Indeed. There is nothing that noble about slaughtering two bad owls in the desert.” The Spotted Owl rose up to her full height and looked down her beak at Gylfie. In a very haughty voice she said,“You have not been tempered by battle yet. Nor do you know the first thing about strategy. You probably don’t even know how to fly with battle claws. I have been here much longer than you and still have not yet become a member of a chaw.”“What’s a chaw?” Soren said.“You are selected to join a chaw— a small team of owls— and you will learn a skill that is helpful.”“In battle?” Twilight asked.“Not just battle— in life. There is more to life than just battles. Each chaw has its own, oh, how should I put it? Personality. Navigation chaw tends to have a kind of elegance, they are all superb flyers, as are the members of search- and- rescue, but they, of course, are less refined. Weather interpretation and colliering are decidely rough and uncouth. But,” and the Spotted Owl fixed a very intense gaze on Twilight,“they are all fiercely brave and can fight or fly to the death!” Twilight seemed to swell in anticipation, but Soren almost shrank with fear. Would he be up to it? He had to be. With his friends, he could. Look what they had accomplished so far!“Do we all get to be in the same chaw?” Soren asked.“Probably not.”“But we’re a band.” Soren hoped that he did not sound as if he were pleading.“That doesn’t matter now. You’re part of a larger band. I have to go.”“Duty calls, I suppose,” Gylfie said with a slight edge in her voice.",the Spotted Owl
you spin around till you’re dead.,43291,43325,True,219:Poot.?,"amber light of his squinted eye.“Eat up, maties… every single little hair. You’ve forgotten what raw meat tastes like with the fur, as you call it. Poot here is my first mate. He’ll tell you what it’s like to fly with no ballast in your gizzard.”“I remember that time before I had acquired the taste for hair and thought I could go through that hurricane. Last time I ever tried that. Nearly got caught in the rim of the eye, I did. Now, you don’t want to do that, young’uns.” Poot was a Boreal Owl like Soren and Gylfie’s old friend Grimble.“What happens if you get caught in the rim of the eye of a hurricane?” asked Rudy.“Oh, you spin around till you’re dead. Just around and around and around. Awful nasty way to go. Usually get your wings torn off in the process,” said Poot.“Now, don’t go scaring them, Poot,” Octavia said and gave a ripple so that all their plates clattered a bit.“And please, young’uns, don’t try that trick of slipping the fur under the table. Remember, I am the table and it itches something fierce.” It was not even dark yet, but the weather chaw owls were already on the takeoff limb. It was all they could do to hang on as the gale lashed about them and the limb bucked in the turbulent wind. Shards of ice flew through the air.“We take off upwind, naturally.” Although Soren was not sure in this gale which way upwind even was.“We’re going to fly straight out over the Sea of Hoolemere.",Poot
now!”,222117,222125,True,764:a woman.F,", or his shadow, or whatever it was, fell next to Cedric’s, and surveyed Harry and Voldemort, and the golden web, and the connected wands, with mild surprise, leaning on his walking stick.…“He was a real wizard, then?” the old man said, his eyes on Voldemort.“Killed me, that one did.… You fight him, boy.…” But already, yet another head was emerging… and this head, gray as a smoky statue, was a woman’s.… Harry, both arms shaking now as he fought to keep his wand still, saw her drop to the ground and straighten up like the others, staring.… The shadow of Bertha Jorkins surveyed the battle before her with wide eyes.“Don’t let go, now!” she cried, and her voice echoed like Cedric’s as though from very far away.“Don’t let him get you, Harry— don’t let go!” She and the other two shadowy figures began to pace around the inner walls of the golden web, while the Death Eaters flitted around the outside of it… and Voldemort’s dead victims whispered as they circled the duelers, whispered words of encouragement to Harry, and hissed words Harry couldn’t hear to Voldemort. And now another head was emerging from the tip of Voldemort’s wand… and Harry knew when he saw it who it would be… he knew, as though he had expected it from the moment when Cedric had appeared from the wand… knew, because the woman was the one he’d thought of",a woman
"“Very— very well,”",237302,237308,True,334:Madam Pomfrey.F,"to me,” said Bill. He clapped a hand on Harry’s shoulder, kissed his mother on the cheek, pulled on his cloak, and strode quickly from the room.“Minerva,” said Dumbledore, turning to Professor McGonagall,“I want to see Hagrid in my office as soon as possible. Also— if she will consent to come— Madame Maxime.” Professor McGonagall nodded and left without a word.“Poppy,” Dumbledore said to Madam Pomfrey,“would you be very kind and go down to Professor Moody’s office, where I think you will find a house- elf called Winky in considerable distress? Do what you can for her, and take her back to the kitchens. I think Dobby will look after her for us.”“Very— very well,” said Madam Pomfrey, looking startled, and she too left. Dumbledore made sure that the door was closed, and that Madam Pomfrey’s footsteps had died away, before he spoke again.“And now,” he said,“it is time for two of our number to recognize each other for what they are. Sirius… if you could resume your usual form.” The great black dog looked up at Dumbledore, then, in an instant, turned back into a man. Mrs. Weasley screamed and leapt back from the bed.“Sirius Black!” she shrieked, pointing at him.“Mum, shut up!” Ron yelled.“It’s okay!” Snape had not yelled or jumped backward, but the look on his face was one of mingled",Madam Pomfrey
"“Strange isn’t it,",61736,61754,True,1325:the Great Ga’Hoole Tree A peek at THE GUARDIANS of GA’HOOLE Book Three.?,"Plonk’s blind nest- maid snake TRADER MAGS: Magpie, a traveling merchant OTULISSA: Spotted Owl, Strix occidentalis, a student of prestigious lineage at the Great Ga’Hoole Tree PRIMROSE: Pygmy Owl, Glaucidium gnoma, rescued from a forest fire and brought to the Great Ga’Hoole Tree the night of Soren and his friends’ arrival MARTIN: Northern Saw- whet Owl, Aegolius acadicus, rescued and brought to the Great Ga’Hoole Tree the same night as Primrose RUBY: Short- eared Owl, Asio flammeus; lost her family under mysterious circumstances and was brought to the Great Ga’Hoole Tree A peek at THE GUARDIANS of GA’HOOLE Book Three: The Rescue The dawn bled into night, faying the darkness, turning the black red, and Soren, with Digger by his side, flew through it.“Strange isn’t it, Soren, how even at night the comet makes this color?”“I know. And look at those sparks from the tail just below the moon. Great Glaux, even the moon is beginning to look red.” Digger’s voice was quavery with worry.“I told you about Octavia. How she thinks it’s an omen, or at least I think she thinks it is, even though she won’t really admit it.”“Why won’t she admit it?” Digger asked.“I think she’s sensitive about coming from the great North Waters. She says everyone there is very superstitious, but I don’t know, I guess she just thinks the owls here will laugh at her or something. I’m not sure.” Suddenly, Soren was experiencing a tight, uncomfortable feeling as he flew. He had",the Great Ga’Hoole Tree A peek at THE GUARDIANS of GA’HOOLE Book Three
Soren.,52296,52309,True,205:Elvan.?,"landed.”“Excellent,” Elvan said. Elvan then flew off to confer with Bubo and Ezylryb.“Soren, there is nothing like it. I can’t tell you. As soon as I got there I just wasn’t frightened at all. And I can’t describe what it’s like to grab the cinders in your beak. It’s…”“Intoxicating,” Otulissa broke in.“Yes, I read about it. You must be careful, though. Strix Emerilla wrote that some colliers get so drunk on the cinders that they do not heed weather warnings.”“Well, it’s very strange the feeling you get when you grab them and then fly with them. It’s something,” he paused.“Something very powerful.”“Now’s the time, Soren. You’re going in!” Elvan ordered.“What about me?” Otulissa wailed.“Shut your beak, your turn will come,” Bubo yelled. Soren pitched into a spiraling downward twist. He felt himself buffeted by a sudden fierce updraft, but he had gathered enough speed to bore through it. Then he was on the ground. It was a strange landscape. Charred skeletons of trees clawed the night, and then scattered about were the coals like hot glowing rocks. They were told to work quickly but at the same time not to rush. A steady pace is the best pace, Bubo had told them. How had Martin, so little, done it and found cinders perfectly sized for his beak? Great Glaux, how embarrassing it would be, Soren thought, if he could not",Elvan
He is returned to power and I will be honored by him beyond the dreams of wizards.”,230516,230547,True,278:Crouch.M,". Dumbledore joined them. I watched Potter bringing Dumbledore out of the castle. I walked back out of the forest, doubled around behind them, went to meet them. I told Dumbledore Snape had told me where to come.“Dumbledore told me to go and look for my father. I went back to my father’s body. Watched the map. When everyone was gone, I Transfigured my father’s body. He became a bone… I buried it, while wearing the Invisibility Cloak, in the freshly dug earth in front of Hagrid’s cabin.” There was complete silence now, except for Winky’s continued sobs. Then Dumbledore said,“And tonight…”“I offered to carry the Triwizard Cup into the maze before dinner,” whispered Barty Crouch.“Turned it into a Portkey. My master’s plan worked. He is returned to power and I will be honored by him beyond the dreams of wizards.” The insane smile lit his features once more, and his head drooped onto his shoulder as Winky wailed and sobbed at his side. Chapter 36 The Parting of the Ways Dumbledore stood up. He stared down at Barty Crouch for a moment with disgust on his face. Then he raised his wand once more and ropes flew out of it, ropes that twisted themselves around Barty Crouch, binding him tightly. He turned to Professor McGonagall.“Minerva, could I ask you to stand guard here while I take Harry upstairs?”“Of course,” said Professor McGonagall. She looked slightly nauseous, as though she had just watched someone being sick. However, when she drew out her wand and pointed it at Barty Crouch, her hand was quite steady.“Severus”—",Crouch
no!,198836,198871,True,4978:the boy.M,"and to resume the lives of violence you presumably led while he was strong. I now ask the jury—”“Mother!” screamed the boy below, and the wispy little witch beside Crouch began to sob, rocking backward and forward.“Mother, stop him, Mother, I didn’t do it, it wasn’t me!”“I now ask the jury,” shouted Mr. Crouch,“to raise their hands if they believe, as I do, that these crimes deserve a life sentence in Azkaban!” In unison, the witches and wizards along the right- hand side of the dungeon raised their hands. The crowd around the walls began to clap as it had for Bagman, their faces full of savage triumph. The boy began to scream.“No! Mother, no! I didn’t do it, I didn’t do it, I didn’t know! Don’t send me there, don’t let him!” The dementors were gliding back into the room. The boys’ three companions rose quietly from their seats; the woman with the heavy- lidded eyes looked up at Crouch and called,“The Dark Lord will rise again, Crouch! Throw us into Azkaban; we will wait! He will rise again and will come for us, he will reward us beyond any of his other supporters! We alone were faithful! We alone tried to find him!” But the boy was trying to fight off the dementors, even though Harry could see their cold, draining power starting to affect him. The crowd was jeering, some of them on their feet, as the woman swept out of the dungeon, and the boy continued to struggle.“I’m your son!” he",the boy
"“Matron,",19827,19856,True,653:Another Short - eared Owl.F,"the tree, meeting hollows for large and smaller congregations of owls seemed to be below, along with a hollow that was called a kitchen, from which very good smells issued. There were places along the way where small groups of owls gathered to socialize. These seemed to be near the points where some of the larger branches of the tree joined the trunk. There were good- sized openings at these points so that owls could either sit inside on specially constructed perches or outside on the branches themselves.“Now, I want you young’uns to stay out of the way. We’ve got some wounded owls coming in and I have to arrange for their care.” They were flying up through the branches, following the Short- eared Owl to the hollow that would be theirs.“Matron, we’re going to need moss and down. Search- and- rescue’s coming in with two more little ones. Nest decimation.” Another Short- eared Owl flew by with a wad of something fluffy in her talons.“Oh, no! Poor little things.”“Nest decimation. What’s that?” Soren asked.“Accidental destruction of nests.” A young Spotted Owl flew up as they landed on a branch midway up the tree.“Otulissa, thank goodness. Can you show these new arrivals to that hollow we cleaned out yesterday?”“Certainly, Matron.”“And see if Cook has any tea or cakes left over. They look half starved.”“Certainly.” The Spotted Owl named Otulissa showed them to their hollow.“What is going on here?” Twilight asked her.“Oh, there’ve been some skirmishes up in the borderlands, nothing",Another Short - eared Owl
“— and take his Wheezy back from the merpeople!”,163384,163395,True,1327:the elf.F,"to fall through Harry’s chest into his stomach.“Hurry, Harry Potter!” squeaked Dobby, plucking at Harry’s sleeve.“You is supposed to be down by the lake with the other champions, sir!”“It’s too late, Dobby,” Harry said hopelessly.“I’m not doing the task, I don’t know how—”“Harry Potter will do the task!” squeaked the elf.“Dobby knew Harry had not found the right book, so Dobby did it for him!”“What?” said Harry.“But you don’t know what the second task is—”“Dobby knows, sir! Harry Potter has to go into the lake and find his Wheezy—”“Find my what?”“— and take his Wheezy back from the merpeople!”“What’s a Wheezy?”“Your Wheezy, sir, your Wheezy— Wheezy who is giving Dobby his sweater!” Dobby plucked at the shrunken maroon sweater he was now wearing over his shorts.“What?” Harry gasped.“They’ve got… they’ve got Ron?”“The thing Harry Potter will miss most, sir!” squeaked Dobby.“‘ But past an hour—’”“—‘ the prospect’s black,’” Harry recited, staring, horror- struck, at the elf.“‘ Too late, it’s gone, it won’t come back.’ Dobby— what’ve I got to do?”“You has to eat this, sir!” squeaked the elf, and he put his hand",the elf
"“I think I’ll go and have dinner,”",133035,133045,True,222:Ginny.F,"’ dormitories again.“She’s lying,” said Ron flatly, watching her go.“She’s not,” said Ginny quietly.“Who is it then?” said Ron sharply.“I’m not telling you, it’s her business,” said Ginny.“Right,” said Ron, who looked extremely put out,“this is getting stupid. Ginny, you can go with Harry, and I’ll just—”“I can’t,” said Ginny, and she went scarlet too.“I’m going with— with Neville. He asked me when Hermione said no, and I thought… well… I’m not going to be able to go otherwise, I’m not in fourth year.” She looked extremely miserable.“I think I’ll go and have dinner,” she said, and she got up and walked off to the portrait hole, her head bowed. Ron goggled at Harry.“What’s got into them?” he demanded. But Harry had just seen Parvati and Lavender come in through the portrait hole. The time had come for drastic action.“Wait here,” he said to Ron, and he stood up, walked straight up to Parvati, and said,“Parvati? Will you go to the ball with me?” Parvati went into a fit of giggles. Harry waited for them to subside, his fingers crossed in the pocket of his robes.“Yes, all right then,” she said finally, blushing furiously.“Thanks,” said Harry, in relief.“Lavender— will you",Ginny
“’ E can not compete.’ E is too young.”,90080,90093,True,439:Fleur.F,"the other three.“May I introduce— incredible though it may seem— the fourth Triwizard champion?” Viktor Krum straightened up. His surly face darkened as he surveyed Harry. Cedric looked nonplussed. He looked from Bagman to Harry and back again as though sure he must have misheard what Bagman had said. Fleur Delacour, however, tossed her hair, smiling, and said,“Oh, vairy funny joke, Meester Bagman.”“Joke?” Bagman repeated, bewildered.“No, no, not at all! Harry’s name just came out of the Goblet of Fire!” Krum’s thick eyebrows contracted slightly. Cedric was still looking politely bewildered. Fleur frowned.“But evidently zair’ as been a mistake,” she said contemptuously to Bagman.“’ E can not compete.’ E is too young.”“Well… it is amazing,” said Bagman, rubbing his smooth chin and smiling down at Harry.“But, as you know, the age restriction was only imposed this year as an extra safety measure. And as his name’s come out of the goblet… I mean, I don’t think there can be any ducking out at this stage.… It’s down in the rules, you’re obliged… Harry will just have to do the best he—” The door behind them opened again, and a large group of people came in: Professor Dumbledore, followed closely by Mr. Crouch, Professor Karkaroff, Madame Maxime, Professor McGonagall, and Professor Snape. Harry heard the buzzing of the hundreds of students on the other side of the wall, before Professor",Fleur
